10.11.2020 18:10:36: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; started music quiz. 
10.11.2020 18:11:58: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; started music quiz. 
10.11.2020 18:14:40: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; started music quiz. 
10.11.2020 18:16:21: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; started music quiz. 
10.11.2020 18:16:52: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; started music quiz. 
10.11.2020 18:17:00: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; quessed!. 
10.11.2020 18:17:00: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
10.11.2020 18:17:01: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
10.11.2020 18:17:31: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; quessed!. 
10.11.2020 18:17:32: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
10.11.2020 18:17:33: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
10.11.2020 18:18:13: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; quessed!. 
10.11.2020 18:18:14: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
10.11.2020 18:18:15: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
10.11.2020 18:19:02: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; quessed!. 
10.11.2020 18:19:02: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
10.11.2020 18:19:03: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
10.11.2020 18:21:06: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
